Datetime	Open	High	Low	Close	tick_volume
1542610800	1.13974	1.1399	1.13959	1.1398	304
1542611700	1.1398	1.13995	1.13956	1.1397	177
1542612600	1.1397	1.14001	1.1397	1.13977	232
1542613500	1.13977	1.13987	1.13962	1.13967	278
1542614400	1.13967	1.13977	1.13935	1.13942	448
1542615300	1.13943	1.14029	1.13943	1.14024	451
1542616200	1.14022	1.14051	1.14005	1.14045	360
1542617100	1.14045	1.14046	1.13995	1.14025	346
1542618000	1.14025	1.14117	1.1401	1.14116	662
1542618900	1.14116	1.14116	1.14061	1.14073	555
1542619800	1.14073	1.14074	1.14004	1.14066	593
1542620700	1.14067	1.14152	1.14055	1.1409	641
1542621600	1.1409	1.14235	1.14031	1.14187	1255
1542622500	1.14187	1.14238	1.14156	1.14181	980
1542623400	1.14181	1.14247	1.14179	1.14236	775
1542624300	1.14236	1.14288	1.14165	1.14175	890
1542625200	1.14175	1.14194	1.1412	1.14157	960
1542626100	1.14158	1.14199	1.14142	1.14182	806
1542627000	1.14182	1.14223	1.14155	1.14213	790
1542627900	1.14212	1.14288	1.14191	1.14272	860
1542628800	1.14271	1.14273	1.14212	1.14226	652
1542629700	1.14226	1.14281	1.14225	1.14262	755
1542630600	1.14262	1.14268	1.1418	1.1418	687
1542631500	1.1418	1.14202	1.14161	1.14184	521
1542632400	1.14184	1.14239	1.14169	1.14226	840
1542633300	1.14226	1.14234	1.14185	1.14232	526
1542634200	1.14232	1.14248	1.14194	1.14247	649
1542635100	1.14246	1.14343	1.14201	1.14241	1499
1542636000	1.14241	1.14287	1.1418	1.14182	897
1542636900	1.14182	1.14205	1.14175	1.14182	662
1542637800	1.14181	1.14219	1.14146	1.14183	891
1542638700	1.14183	1.14221	1.14147	1.14215	769
1542639600	1.14215	1.1427	1.1419	1.14265	1028
1542640500	1.14265	1.14374	1.14258	1.1437	1147
1542641400	1.14367	1.14367	1.14286	1.14302	980
1542642300	1.14302	1.14321	1.14273	1.1428	834
1542643200	1.1428	1.14284	1.14233	1.14264	794
1542644100	1.14263	1.14349	1.14263	1.14336	755
1542645000	1.14337	1.14354	1.14279	1.14297	1023
1542645900	1.14298	1.14342	1.14273	1.14274	787
1542646800	1.14274	1.14452	1.14248	1.1442	1450
1542647700	1.14418	1.14574	1.14398	1.14541	1749
1542648600	1.14541	1.1464	1.1454	1.14621	1526
1542649500	1.1462	1.1463	1.14518	1.14523	1344
1542650400	1.14523	1.14551	1.14476	1.14504	932
1542651300	1.14504	1.14564	1.14502	1.14523	1038
1542652200	1.14523	1.1455	1.14452	1.14481	941
1542653100	1.14481	1.14514	1.14453	1.14477	860
1542654000	1.14478	1.14478	1.1441	1.14452	894
1542654900	1.14452	1.14484	1.14431	1.14434	523
1542655800	1.14434	1.14509	1.14429	1.14502	712
1542656700	1.14502	1.14578	1.14463	1.14572	654
1542657600	1.14573	1.14576	1.14535	1.14551	448
1542658500	1.14551	1.14576	1.14518	1.14572	388
1542659400	1.14572	1.14572	1.14525	1.14545	372
1542660300	1.14545	1.14547	1.14504	1.14505	491
1542661200	1.14505	1.14536	1.14498	1.1453	537
1542662100	1.1453	1.14558	1.14525	1.14532	233
1542663000	1.14532	1.14576	1.14524	1.1455	482
1542663900	1.14557	1.1457	1.14519	1.14539	541
1542664800	1.14539	1.14539	1.14507	1.14523	418
1542665700	1.14523	1.14555	1.14506	1.14555	336
1542666600	1.14555	1.14559	1.14508	1.14518	326
1542667500	1.14518	1.1455	1.14491	1.14509	351
1542668400	1.14508	1.14522	1.14497	1.14521	189
1542669300	1.1452	1.1454	1.1451	1.14516	88
1542670200	1.14516	1.14519	1.14499	1.14515	102
1542671100	1.14515	1.14532	1.14511	1.14524	188
1542672000	1.14529	1.14529	1.14463	1.14506	243
1542672900	1.14508	1.14539	1.14506	1.14516	247
1542673800	1.14515	1.14538	1.14506	1.1452	256
1542674700	1.1452	1.14552	1.14472	1.14521	403
1542675600	1.14523	1.14564	1.14518	1.14551	531
1542676500	1.14552	1.14566	1.14543	1.14557	163
1542677400	1.14557	1.14571	1.14546	1.14546	157
1542678300	1.14544	1.14553	1.14535	1.14537	194
1542679200	1.14537	1.14577	1.14516	1.14547	460
1542680100	1.14547	1.14547	1.14517	1.14518	226
1542681000	1.14518	1.14539	1.14507	1.14522	303
1542681900	1.14522	1.14538	1.14474	1.14492	337
1542682800	1.14493	1.14503	1.14467	1.14472	411
1542683700	1.14472	1.14483	1.14453	1.14453	381
1542684600	1.14453	1.14467	1.14434	1.14464	386
1542685500	1.14464	1.14465	1.14424	1.14464	429
1542686400	1.14464	1.14479	1.14444	1.14472	248
1542687300	1.14472	1.14481	1.1446	1.14465	263
1542688200	1.14467	1.14495	1.14464	1.14495	178
1542689100	1.14495	1.14512	1.14485	1.145	220
