Datetime	Open	High	Low	Close	tick_volume
1542689100	112.603	112.618	112.583	112.588	255
1542690000	112.588	112.606	112.576	112.598	290
1542690900	112.598	112.598	112.491	112.502	461
1542691800	112.502	112.563	112.483	112.556	764
1542692700	112.556	112.569	112.529	112.552	487
1542693600	112.552	112.625	112.548	112.605	554
1542694500	112.605	112.606	112.557	112.565	566
1542695400	112.566	112.566	112.522	112.534	330
1542696300	112.535	112.535	112.49	112.5	497
1542697200	112.5	112.525	112.496	112.523	384
1542698100	112.523	112.551	112.512	112.535	357
1542699000	112.535	112.55	112.522	112.55	323
1542699900	112.55	112.561	112.528	112.528	343
1542700800	112.528	112.529	112.493	112.511	353
1542701700	112.512	112.514	112.471	112.497	516
1542702600	112.497	112.521	112.484	112.498	357
1542703500	112.499	112.551	112.471	112.544	538
1542704400	112.544	112.551	112.486	112.505	675
1542705300	112.505	112.527	112.469	112.494	417
1542706200	112.493	112.517	112.463	112.507	567
1542707100	112.507	112.531	112.497	112.51	519
1542708000	112.51	112.518	112.418	112.448	1019
1542708900	112.448	112.456	112.414	112.437	645
1542709800	112.437	112.467	112.377	112.382	890
1542710700	112.382	112.384	112.312	112.328	1270
1542711600	112.328	112.354	112.314	112.345	765
1542712500	112.345	112.379	112.331	112.363	725
1542713400	112.362	112.404	112.355	112.392	588
1542714300	112.392	112.439	112.377	112.432	742
1542715200	112.432	112.443	112.399	112.412	734
1542716100	112.412	112.472	112.398	112.464	798
1542717000	112.464	112.469	112.437	112.439	525
1542717900	112.439	112.464	112.429	112.449	396
1542718800	112.449	112.473	112.436	112.472	601
1542719700	112.472	112.483	112.448	112.448	312
1542720600	112.448	112.479	112.43	112.478	461
1542721500	112.477	112.509	112.469	112.487	489
1542722400	112.488	112.488	112.382	112.426	837
1542723300	112.427	112.44	112.406	112.411	601
1542724200	112.411	112.411	112.346	112.349	505
1542725100	112.35	112.36	112.327	112.338	773
1542726000	112.339	112.353	112.3	112.341	821
1542726900	112.341	112.368	112.327	112.342	933
1542727800	112.342	112.415	112.321	112.332	1624
1542728700	112.332	112.381	112.312	112.352	1455
1542729600	112.353	112.447	112.349	112.418	1222
1542730500	112.417	112.506	112.415	112.453	1283
1542731400	112.45	112.506	112.417	112.476	2783
1542732300	112.476	112.494	112.355	112.393	2244
1542733200	112.392	112.452	112.358	112.362	2340
1542734100	112.362	112.571	112.357	112.533	2357
1542735000	112.533	112.647	112.516	112.647	1891
1542735900	112.647	112.649	112.567	112.624	1865
1542736800	112.624	112.638	112.575	112.598	1922
1542737700	112.599	112.61	112.551	112.577	1338
1542738600	112.576	112.732	112.576	112.704	1368
1542739500	112.705	112.714	112.616	112.653	1139
1542740400	112.654	112.691	112.629	112.658	1235
1542741300	112.658	112.717	112.636	112.71	1155
1542742200	112.71	112.723	112.667	112.68	1132
1542743100	112.68	112.699	112.628	112.693	852
1542744000	112.693	112.839	112.685	112.802	1217
1542744900	112.801	112.813	112.746	112.773	1008
1542745800	112.773	112.803	112.741	112.799	885
1542746700	112.799	112.805	112.706	112.71	779
1542747600	112.71	112.786	112.699	112.778	823
1542748500	112.777	112.809	112.736	112.75	735
1542749400	112.749	112.79	112.734	112.746	639
1542750300	112.746	112.749	112.705	112.718	757
1542751200	112.718	112.756	112.669	112.684	1314
1542752100	112.684	112.73	112.677	112.697	1429
1542753000	112.697	112.719	112.674	112.691	779
1542753900	112.691	112.697	112.618	112.676	777
1542754800	112.675	112.699	112.669	112.696	253
1542755700	112.695	112.757	112.695	112.753	158
1542756600	112.753	112.759	112.739	112.74	95
1542757500	112.74	112.759	112.728	112.752	199
1542758400	112.752	112.752	112.678	112.717	977
1542759300	112.718	112.756	112.691	112.711	1170
1542760200	112.71	112.741	112.683	112.701	776
1542761100	112.702	112.73	112.702	112.724	212
1542762000	112.725	112.731	112.692	112.701	749
1542762900	112.701	112.708	112.694	112.7	89
1542763800	112.7	112.701	112.652	112.663	227
1542764700	112.663	112.708	112.64	112.704	567
1542765600	112.704	112.775	112.694	112.746	909
1542766500	112.749	112.769	112.734	112.758	714
1542767400	112.758	112.838	112.758	112.809	613
1542768300	112.809	112.855	112.789	112.812	912
1542769200	112.811	112.828	112.743	112.756	851
1542770100	112.756	112.847	112.745	112.845	786
1542771000	112.845	112.902	112.845	112.89	977
1542771900	112.89	112.922	112.872	112.873	716
1542772800	112.873	112.921	112.872	112.898	609
1542773700	112.898	112.909	112.876	112.886	425
1542774600	112.886	112.887	112.845	112.857	410
1542775500	112.858	112.895	112.857	112.891	339
1542776400	112.891	112.933	112.89	112.905	513
1542777300	112.905	112.923	112.896	112.91	446
1542778200	112.91	112.929	112.866	112.866	486
1542779100	112.866	112.888	112.844	112.88	492
1542780000	112.88	112.895	112.865	112.89	359
1542780900	112.89	112.911	112.882	112.903	249
1542781800	112.904	112.904	112.88	112.896	353
1542782700	112.897	112.91	112.873	112.894	346
1542783600	112.894	112.908	112.875	112.888	366
1542784500	112.888	112.895	112.854	112.87	334
1542785400	112.87	112.884	112.853	112.865	312
1542786300	112.865	112.909	112.819	112.82	500
1542787200	112.82	112.838	112.813	112.816	379
1542788100	112.816	112.831	112.8	112.822	218
1542789000	112.822	112.825	112.795	112.808	245
1542789900	112.808	112.838	112.793	112.833	446
1542790800	112.834	112.861	112.833	112.845	423
1542791700	112.845	112.878	112.82	112.846	529
1542792600	112.846	112.902	112.834	112.896	697
1542793500	112.896	112.923	112.863	112.866	705
1542794400	112.865	112.873	112.824	112.867	1058
1542795300	112.867	112.869	112.826	112.862	701
1542796200	112.863	112.865	112.817	112.832	820
1542797100	112.832	112.879	112.826	112.859	658
1542798000	112.859	112.916	112.853	112.916	532
1542798900	112.916	112.944	112.911	112.923	483
1542799800	112.922	112.942	112.909	112.922	631
1542800700	112.922	112.959	112.922	112.946	473
1542801600	112.946	113.013	112.93	113.011	1492
1542802500	113.011	113.047	112.999	113.042	814
1542803400	113.042	113.126	113.042	113.121	817
1542804300	113.12	113.143	113.095	113.119	970
1542805200	113.12	113.144	113.071	113.079	589
1542806100	113.08	113.098	112.999	113.011	1200
1542807000	113.011	113.049	112.979	112.996	863
1542807900	112.997	113.023	112.972	113.001	742
1542808800	113.001	113.04	112.997	113.037	712
1542809700	113.037	113.041	112.999	113.041	472
1542810600	113.041	113.079	113.007	113.052	725
1542811500	113.052	113.1	113.027	113.047	759
1542812400	113.047	113.084	113.042	113.073	724
1542813300	113.072	113.088	112.977	112.979	836
1542814200	112.979	112.979	112.875	112.908	1388
1542815100	112.909	112.939	112.86	112.867	1048
1542816000	112.867	112.925	112.861	112.885	784
1542816900	112.885	113.007	112.873	112.976	884
1542817800	112.978	113.002	112.937	112.966	1750
1542818700	112.966	113.046	112.947	113.041	1428
1542819600	113.041	113.083	112.994	112.995	1648
1542820500	112.995	113.01	112.924	112.945	1255
1542821400	112.945	113.004	112.936	112.977	1291
1542822300	112.979	113.039	112.956	112.975	1311
1542823200	112.975	113.032	112.95	113.027	1099
1542824100	113.027	113.044	113.006	113.012	671
1542825000	113.012	113.022	112.965	113.015	680
1542825900	113.015	113.058	112.993	113.057	529
1542826800	113.057	113.095	113.04	113.052	658
1542827700	113.051	113.078	113.026	113.055	661
1542828600	113.055	113.058	112.992	113.006	431
1542829500	113.006	113.034	113.004	113.004	391
1542830400	113.004	113.063	113	113.062	341
1542831300	113.063	113.063	113.026	113.044	323
1542832200	113.044	113.098	113.038	113.089	591
1542833100	113.089	113.096	113.037	113.037	300
1542834000	113.037	113.048	113.001	113.005	252
1542834900	113.005	113.054	113	113.052	262
1542835800	113.052	113.074	113.045	113.064	335
1542836700	113.064	113.088	113.051	113.072	481
1542837600	113.072	113.085	113.059	113.059	383
1542838500	113.059	113.098	113.051	113.091	246
1542839400	113.09	113.097	113.048	113.05	250
1542840300	113.05	113.091	113.05	113.067	323
1542841200	113.066	113.098	113.048	113.094	224
1542842100	113.097	113.11	113.083	113.09	106
1542843000	113.091	113.116	113.062	113.063	142
1542843900	113.064	113.071	113.033	113.049	249
1542844800	113.042	113.071	112.956	113.021	301
1542845700	113.024	113.064	113.016	113.031	1533
1542846600	113.031	113.197	113.019	113.054	371
1542847500	113.054	113.108	113.051	113.103	595
1542848400	113.103	113.109	113.064	113.088	590
1542849300	113.089	113.09	113.053	113.057	227
1542850200	113.057	113.059	113.042	113.045	157
1542851100	113.046	113.068	113.008	113.027	450
1542852000	113.027	113.04	113.005	113.033	549
1542852900	113.033	113.07	113.023	113.062	397
1542853800	113.062	113.127	113.06	113.107	585
1542854700	113.106	113.118	113.044	113.096	613
1542855600	113.097	113.128	113.048	113.06	499
1542856500	113.06	113.08	113.006	113.023	511
1542857400	113.023	113.023	112.991	113.011	551
1542858300	113.01	113.038	112.986	113.01	544
1542859200	113.009	113.015	112.976	112.987	505
1542860100	112.987	112.989	112.954	112.984	402
1542861000	112.984	113.015	112.964	112.997	398
1542861900	112.997	113.014	112.972	112.989	302
1542862800	112.989	112.997	112.963	112.976	270
1542863700	112.976	112.993	112.968	112.984	171
1542864600	112.984	113.004	112.979	112.997	321
1542865500	112.997	113.007	112.986	112.996	208
1542866400	112.996	113.01	112.974	113.007	302
1542867300	113.007	113.018	112.967	112.988	388
1542868200	112.988	113.034	112.98	113.032	226
1542869100	113.032	113.033	112.985	113.005	380
1542870000	113.005	113.021	112.982	112.998	308
1542870900	112.998	113.008	112.971	112.989	397
1542871800	112.989	113.016	112.974	113.016	277
1542872700	113.016	113.028	113.007	113.014	357
1542873600	113.015	113.039	112.998	113.031	349
1542874500	113.031	113.044	113.019	113.038	395
1542875400	113.038	113.039	113.012	113.018	153
1542876300	113.018	113.053	113.018	113.033	233
1542877200	113.033	113.063	113.007	113.046	464
1542878100	113.047	113.07	113.033	113.038	231
1542879000	113.038	113.062	112.936	113.061	584
1542879900	113.061	113.073	113.011	113.011	303
1542880800	113.011	113.039	112.956	112.966	610
1542881700	112.966	112.979	112.949	112.958	493
1542882600	112.959	112.963	112.922	112.924	495
1542883500	112.924	112.924	112.891	112.901	533
1542884400	112.901	112.924	112.895	112.913	323
1542885300	112.912	112.914	112.882	112.903	442
1542886200	112.902	112.914	112.881	112.909	347
1542887100	112.909	112.938	112.904	112.933	190
1542888000	112.933	112.939	112.914	112.932	587
1542888900	112.932	112.954	112.885	112.894	899
1542889800	112.892	112.924	112.881	112.914	672
1542890700	112.914	112.962	112.908	112.949	412
1542891600	112.949	112.981	112.94	112.979	375
1542892500	112.98	112.988	112.944	112.945	574
1542893400	112.946	112.968	112.931	112.936	477
1542894300	112.936	112.945	112.922	112.936	319
1542895200	112.936	112.967	112.936	112.96	379
1542896100	112.959	112.959	112.943	112.95	201
1542897000	112.949	112.986	112.949	112.983	484
1542897900	112.983	112.988	112.942	112.95	486
1542898800	112.95	112.955	112.931	112.946	461
1542899700	112.946	112.96	112.937	112.95	537
1542900600	112.951	112.957	112.938	112.957	246
1542901500	112.957	112.964	112.942	112.961	298
1542902400	112.961	112.974	112.958	112.966	281
1542903300	112.966	112.966	112.93	112.934	395
1542904200	112.935	112.946	112.927	112.932	329
1542905100	112.932	112.937	112.917	112.936	273
1542906000	112.937	112.981	112.934	112.948	488
1542906900	112.948	112.963	112.936	112.956	385
1542907800	112.955	112.969	112.943	112.955	417
1542908700	112.956	112.986	112.954	112.971	603
1542909600	112.971	112.988	112.956	112.982	515
1542910500	112.982	112.997	112.97	112.991	344
1542911400	112.991	113	112.97	112.971	191
1542912300	112.971	112.971	112.947	112.957	121
1542913200	112.957	112.958	112.94	112.946	158
1542914100	112.946	112.955	112.933	112.942	226
1542915000	112.942	112.962	112.941	112.962	132
1542915900	112.961	112.982	112.961	112.962	156
1542916800	112.964	112.971	112.935	112.945	872
1542917700	112.949	112.955	112.944	112.945	170
1542918600	112.945	112.947	112.944	112.946	641
1542919500	112.946	112.949	112.944	112.946	516
1542920400	112.946	112.988	112.945	112.972	912
1542921300	112.972	112.973	112.937	112.952	447
1542922200	112.951	112.967	112.94	112.952	5979
1542923100	112.952	112.967	112.945	112.951	5336
1542924000	112.951	112.973	112.947	112.968	3539
1542924900	112.967	112.971	112.964	112.968	161
1542925800	112.968	112.97	112.931	112.934	1500
1542926700	112.934	112.953	112.932	112.951	126
1542927600	112.951	112.988	112.95	112.968	172
1542928500	112.968	112.968	112.92	112.951	898
1542929400	112.951	112.978	112.929	112.946	867
1542930300	112.946	112.973	112.919	112.929	333
1542931200	112.929	112.951	112.921	112.923	78
1542932100	112.922	112.962	112.919	112.935	116
1542933000	112.935	112.954	112.931	112.953	64
1542933900	112.953	112.954	112.935	112.94	95
1542934800	112.94	112.982	112.933	112.961	258
1542935700	112.96	112.986	112.952	112.966	167
1542936600	112.966	112.986	112.961	112.983	96
1542937500	112.984	112.99	112.975	112.982	150
1542938400	112.982	112.996	112.958	112.967	184
1542939300	112.967	112.98	112.954	112.962	193
1542940200	112.962	112.976	112.961	112.968	159
1542941100	112.968	112.994	112.965	112.986	235
1542942000	112.987	113.006	112.978	112.99	251
1542942900	112.99	112.996	112.978	112.985	192
1542943800	112.987	112.998	112.972	112.974	230
1542944700	112.974	112.982	112.965	112.972	258
1542945600	112.972	112.985	112.951	112.954	251
1542946500	112.954	112.965	112.941	112.943	182
1542947400	112.943	112.953	112.923	112.931	303
1542948300	112.93	112.948	112.918	112.947	302
1542949200	112.948	112.948	112.921	112.94	215
1542950100	112.941	112.944	112.925	112.93	218
1542951000	112.929	112.939	112.924	112.929	171
1542951900	112.93	112.937	112.921	112.922	136
1542952800	112.922	112.932	112.902	112.904	220
1542953700	112.904	112.913	112.897	112.905	132
1542954600	112.905	112.906	112.871	112.888	157
1542955500	112.888	112.901	112.879	112.899	332
1542956400	112.899	112.911	112.897	112.898	364
1542957300	112.898	112.899	112.865	112.873	235
1542958200	112.873	112.877	112.841	112.843	222
1542959100	112.843	112.847	112.82	112.844	245
1542960000	112.844	112.864	112.843	112.858	179
1542960900	112.858	112.868	112.854	112.86	143
1542961800	112.86	112.867	112.834	112.84	290
1542962700	112.84	112.866	112.834	112.86	326
1542963600	112.86	112.874	112.841	112.843	439
1542964500	112.843	112.86	112.827	112.859	416
1542965400	112.859	112.869	112.846	112.862	325
1542966300	112.862	112.882	112.844	112.85	403
1542967200	112.85	112.86	112.826	112.844	783
1542968100	112.845	112.871	112.831	112.848	603
1542969000	112.849	112.91	112.838	112.892	1517
1542969900	112.892	112.91	112.856	112.859	668
1542970800	112.859	112.88	112.842	112.851	464
1542971700	112.85	112.867	112.814	112.824	557
1542972600	112.824	112.828	112.798	112.805	399
1542973500	112.805	112.831	112.774	112.831	487
1542974400	112.831	112.831	112.804	112.812	377
1542975300	112.812	112.845	112.811	112.836	238
1542976200	112.836	112.857	112.826	112.84	575
1542977100	112.84	112.865	112.826	112.856	517
1542978000	112.856	112.871	112.839	112.858	627
1542978900	112.858	112.864	112.842	112.85	457
1542979800	112.85	112.866	112.803	112.829	527
1542980700	112.829	112.842	112.804	112.811	544
1542981600	112.811	112.823	112.786	112.798	686
1542982500	112.798	112.818	112.79	112.81	543
1542983400	112.81	112.825	112.805	112.82	421
1542984300	112.82	112.844	112.817	112.833	352
1542985200	112.834	112.835	112.812	112.818	536
1542986100	112.818	112.843	112.806	112.841	620
1542987000	112.841	112.843	112.792	112.796	881
1542987900	112.796	112.8	112.703	112.744	827
1542988800	112.744	112.761	112.706	112.715	594
1542989700	112.715	112.728	112.657	112.715	695
1542990600	112.715	112.773	112.695	112.763	1568
1542991500	112.763	112.826	112.747	112.799	1141
1542992400	112.799	112.818	112.771	112.802	799
1542993300	112.8	112.817	112.743	112.758	751
1542994200	112.757	112.777	112.743	112.765	724
1542995100	112.765	112.791	112.748	112.761	952
1542996000	112.761	112.842	112.759	112.825	1031
1542996900	112.825	112.872	112.819	112.844	628
1542997800	112.844	112.853	112.833	112.852	360
1542998700	112.852	112.871	112.825	112.826	753
1542999600	112.826	112.849	112.814	112.839	541
1543000500	112.84	112.86	112.826	112.829	434
1543001400	112.829	112.855	112.824	112.833	421
1543002300	112.833	112.842	112.789	112.827	377
1543003200	112.827	112.861	112.825	112.859	194
1543004100	112.859	112.869	112.817	112.834	536
1543005000	112.834	112.841	112.795	112.818	344
1543005900	112.818	112.857	112.818	112.841	659
1543006800	112.842	112.88	112.838	112.85	1065
1543007700	112.85	112.867	112.849	112.855	260
1543008600	112.855	112.871	112.854	112.861	528
1543009500	112.861	112.881	112.853	112.877	359
1543010400	112.877	112.902	112.852	112.872	2649
1543011300	112.872	112.9	112.867	112.886	1437
1543012200	112.886	112.91	112.866	112.889	1076
1543013100	112.889	112.916	112.865	112.914	1441
1543014000	112.915	112.937	112.904	112.911	825
1543014900	112.911	112.921	112.892	112.909	591
1543015800	112.909	112.936	112.903	112.915	651
1543016700	112.915	112.935	112.885	112.935	303
1543190400	112.909	112.924	112.896	112.917	817
1543191300	112.917	112.927	112.898	112.904	2272
1543192200	112.903	112.918	112.895	112.899	2596
1543193100	112.898	112.924	112.894	112.911	364
1543194000	112.911	112.923	112.885	112.914	829
1543194900	112.915	112.926	112.885	112.887	260
1543195800	112.887	112.901	112.873	112.883	584
1543196700	112.884	112.931	112.884	112.914	738
