Datetime	Open	High	Low	Close	tick_volume
1542660300	1.28649	1.28668	1.28565	1.28566	793
1542661200	1.28566	1.28574	1.28514	1.28552	867
1542662100	1.28552	1.28608	1.28532	1.28537	482
1542663000	1.28539	1.28548	1.28491	1.28506	722
1542663900	1.28513	1.2855	1.28493	1.28547	652
1542664800	1.28545	1.28553	1.28524	1.28547	455
1542665700	1.28547	1.28569	1.28541	1.28567	376
1542666600	1.28565	1.28575	1.28513	1.28515	393
1542667500	1.28515	1.28543	1.28485	1.28497	363
1542668400	1.28496	1.2853	1.28484	1.28509	224
1542669300	1.2851	1.28526	1.28508	1.28523	144
1542670200	1.28522	1.28537	1.28492	1.28497	235
1542671100	1.28497	1.28502	1.28473	1.28493	394
1542672000	1.28492	1.2861	1.28412	1.28474	173
1542672900	1.28474	1.28713	1.28442	1.28686	348
1542673800	1.28687	1.28723	1.28601	1.28654	533
1542674700	1.28654	1.2868	1.28534	1.28598	487
1542675600	1.28601	1.28649	1.28576	1.28614	1344
1542676500	1.28614	1.28624	1.2859	1.2859	228
1542677400	1.2859	1.28592	1.28544	1.28559	271
1542678300	1.28559	1.28602	1.2855	1.28557	410
1542679200	1.28556	1.28567	1.28481	1.28535	612
1542680100	1.28536	1.28587	1.28524	1.28557	448
1542681000	1.28557	1.28577	1.2853	1.28541	516
1542681900	1.28541	1.28564	1.285	1.28534	612
1542682800	1.28537	1.28537	1.28492	1.28516	597
1542683700	1.28516	1.28533	1.28498	1.2851	610
1542684600	1.2851	1.28521	1.28483	1.28504	428
1542685500	1.28504	1.28522	1.28479	1.28514	689
1542686400	1.28514	1.28527	1.2848	1.28521	457
1542687300	1.28521	1.28537	1.28501	1.28506	530
1542688200	1.28506	1.28556	1.28503	1.28553	420
1542689100	1.28553	1.28596	1.28552	1.28583	284
1542690000	1.28583	1.28595	1.2854	1.28581	327
1542690900	1.2858	1.28614	1.28562	1.28613	251
1542691800	1.28613	1.28613	1.28561	1.28594	303
1542692700	1.28593	1.28604	1.28562	1.28576	431
1542693600	1.28575	1.28588	1.28522	1.2854	461
1542694500	1.2854	1.2855	1.28521	1.2853	361
1542695400	1.28531	1.28548	1.28514	1.28528	443
1542696300	1.28527	1.28568	1.28526	1.2854	442
1542697200	1.2854	1.28573	1.28532	1.28552	359
1542698100	1.28552	1.28591	1.28539	1.28583	339
1542699000	1.28583	1.28602	1.28549	1.28574	357
1542699900	1.28572	1.28584	1.28549	1.28553	419
1542700800	1.28553	1.28558	1.28509	1.28551	620
1542701700	1.28551	1.28649	1.2855	1.28603	760
1542702600	1.28606	1.28616	1.28521	1.28545	481
1542703500	1.28546	1.28574	1.28519	1.28528	411
1542704400	1.28525	1.28583	1.28326	1.28372	1367
1542705300	1.28372	1.28523	1.28355	1.28518	1175
1542706200	1.28518	1.2863	1.28511	1.28574	1089
1542707100	1.28574	1.28684	1.28573	1.28621	1245
1542708000	1.28631	1.2877	1.28625	1.28721	1723
1542708900	1.28718	1.28803	1.28701	1.28705	1349
1542709800	1.28705	1.28714	1.28555	1.28617	1825
1542710700	1.28618	1.28621	1.28362	1.28422	2480
1542711600	1.28422	1.28445	1.28216	1.28347	1969
1542712500	1.28347	1.28466	1.2831	1.28386	1519
1542713400	1.28386	1.28454	1.28345	1.28433	1243
1542714300	1.28434	1.28469	1.283	1.28345	1868
1542715200	1.28343	1.28449	1.28331	1.28431	1453
1542716100	1.28431	1.28601	1.28403	1.28571	1790
1542717000	1.28571	1.28729	1.28476	1.28651	1799
1542717900	1.28651	1.28731	1.28623	1.28645	1383
1542718800	1.28644	1.28668	1.2856	1.28597	1387
1542719700	1.28598	1.28827	1.28598	1.28622	1447
1542720600	1.28622	1.28628	1.28488	1.28494	1142
1542721500	1.28492	1.28594	1.28449	1.28491	1696
1542722400	1.28491	1.2851	1.28395	1.28485	1606
1542723300	1.28485	1.28524	1.28424	1.28455	1955
1542724200	1.28452	1.28494	1.28406	1.2848	1324
1542725100	1.2848	1.28482	1.28365	1.28395	1775
1542726000	1.28395	1.28473	1.28375	1.28463	1369
1542726900	1.28463	1.28466	1.2833	1.28402	1336
1542727800	1.28403	1.28422	1.28284	1.28318	1877
1542728700	1.28318	1.28422	1.28285	1.28408	1714
1542729600	1.28407	1.28462	1.28321	1.2837	2029
1542730500	1.28368	1.2839	1.28303	1.28328	1563
1542731400	1.28328	1.28429	1.28306	1.28415	1807
1542732300	1.28415	1.28438	1.28278	1.28348	2325
1542733200	1.28351	1.28355	1.28148	1.28157	2602
1542734100	1.28158	1.28276	1.28137	1.28274	2188
1542735000	1.28274	1.28292	1.2814	1.28223	1698
1542735900	1.28223	1.28329	1.28183	1.28224	2001
1542736800	1.28225	1.28278	1.28151	1.28229	1840
1542737700	1.28229	1.28265	1.28152	1.28155	1451
1542738600	1.28155	1.28162	1.28029	1.28075	1507
1542739500	1.28075	1.28132	1.28064	1.2807	1075
1542740400	1.2807	1.28144	1.28057	1.28122	794
1542741300	1.28123	1.28131	1.28092	1.28124	641
1542742200	1.28124	1.2814	1.28015	1.28039	788
1542743100	1.28039	1.28064	1.27921	1.27939	1010
1542744000	1.27948	1.27963	1.27775	1.27839	1135
1542744900	1.27839	1.2786	1.27766	1.27774	826
1542745800	1.27774	1.27857	1.27764	1.27821	693
1542746700	1.27822	1.2785	1.27779	1.27806	752
1542747600	1.27806	1.27883	1.27783	1.27791	840
1542748500	1.2779	1.2781	1.27756	1.27795	710
1542749400	1.27795	1.27852	1.27786	1.27844	615
1542750300	1.27844	1.2787	1.27823	1.27845	671
1542751200	1.27844	1.27854	1.27803	1.27854	858
1542752100	1.27854	1.27888	1.27841	1.27865	735
1542753000	1.27865	1.27907	1.27846	1.27855	506
1542753900	1.27855	1.27891	1.27834	1.27847	511
1542754800	1.27846	1.27882	1.27813	1.27871	323
1542755700	1.27871	1.27871	1.27839	1.27841	225
